,,,,,,
Description,Parent Topic,HOCS Team name,HOCS Team name in full,HOCS Unit Name,HOCS Unit name in full,Howard - 18 Oct
Family Migration Policy,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Unicef Outright Campaign,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Christmas  - 1600 unaccompanied children remaining in France,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Guidance on s67 of Immigration Act,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Immigration of polo players and staff,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Calais children - age concerns,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Urgent action for unaccompanied children of Calais,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Listing foreign workers,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Visa free travel (commonwealth citizens),Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Accelerate the family reunification process - Campaign 2,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Obama Summit Campaign,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Campaign - Help to ensure this new guidance helps stop families being torn apart,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Campaign - Please ask a Home Office question on family reunion,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
EEA Nationals and British Citizenship,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Intra-Country Transfer – British Airways Outsourcing,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Unicef – specific concerns,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Status of EU Nationals following EU Referendum,EU Referendum ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Immigration Act 2014,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions/issues regarding the disclosue  of criminal conviction data to foreign governments.,Police Records (inc PNC) ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions/issues relating to the deportation of foreign  nationals  based on criminal convictions or criminalty.,Police Reform ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters concerning UK's non participation in EU Schengen visa,European,BICS EUDev,"Borders, Immigration and Citizenship System EU Development",IIG,Immigration and International Group,Change
Implementation of Schengen into UK,European,BICS EuDev,"Borders, Immigration and Citizenship System EU Development",IIG,Immigration and International Group,Change
Europol,European,BICS EuDev,"Borders, Immigration and Citizenship System EU Development",IIG,Immigration and International Group,Change
Cross-border surveillance,European,BICS EuDev,"Borders, Immigration and Citizenship System EU Development",IIG,Immigration and International Group,Change
Home Office aspect of EU enlargement - Justice and Home Affairs issues and Twinning projects,European,BICS EuDev,"Borders, Immigration and Citizenship System EU Development",IIG,Immigration and International Group,Change
Psychoactive Substances Act,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
General Firearms Licensing enquiries,Firearms ,DFLU,Drugs & Firearms Licensing Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
DCU Centralised Response - HO not intervening,Miscellaneous ,DCU CDT,Direct Communications Unit Central Drafting Team,DCU,Direct Communications Unit,Change
Transfer issue - Department for Education (DfE),Transfers to OGD ,DfE (OGD),Department for Education,Other Government Department,,Change
Transfer issue - Department for International Development (DFID),Transfers to OGD ,DfID (OGD),Department for International Development,Other Government Department,,Change
International multi-focus visits to/by Officials and Ministers,International,BICS INT,"Borders, Immigration and Citizenship System International",IIG,Immigration and International Group,Change
Interpol,International,BICS INT,"Borders, Immigration and Citizenship System International",IIG,Immigration and International Group,Change
Multiple Issues,Miscellaneous ,DCU CDT,Direct Communications Unit Central Drafting Team,DCU,Direct Communications Unit,Change
"DCU Complaints (Correspondence, Front of House & Phones Team)",Miscellaneous ,DCU CDT,Direct Communications Unit Central Drafting Team,DCU,Direct Communications Unit,Change
Identity Security,Fraud,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Afghan interpreters,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Affect of EU Referendum result on UK nationals wishing to travel/study in EU,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Right to work checks,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
EDM 504 - Change Country of Origin Information for Eritrea - refrain from returning asylum seekers to Eritrea,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Detention policy,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Immigration Bill 2015 – Time limit on immigration detention,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
EU/Turkish agreement regarding refugees,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Calais camp clearance (IBPD),Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Asylum - Dublin Regulation and family reunion (eg Calais children situation),Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Unaccompanied child asylum seekers - general,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Refugee Family Reunion,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Immigration - Impact of Paris attacks - border security etc,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions/ issues on the balance  between  Article 8 ECHR & deportation of foreign nationals.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Persection of Christians and Christian converts in Pakistan,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Refugee situation  ( Non-Syrian),Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Removal of ex –Unaccompanied Asylum Seeking children (UASC) upon turning 18 years of age.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Consultation: Reforming support given to failed asylum seekers and illegal migrants,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Cut in the rates paid to asylum applicants,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Clandestine Illegal Immigrants in Calais,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Immigration Health Surcharge,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Women’s asylum charter,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Further submissions policy EDM714,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Pros and Cons of Immigration,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Visiting international students,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Landlords and tenants EDM 565 2014-15’,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters regarding the development and updating of enforcement legislation and rules.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Campaign for a rise in payment rates to asylum seekers under Section 95,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Don't shut the door on international students campaign,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Net migration lines,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Calais - illegal immigrants/asylum seekers,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Refusal of visit visas to Kenyan students,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Immigration Bill – deprivation of citizenship,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Landlords & Tenants,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Visitor Bonds,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy development proposals for the reintroduction of exit checks by 2015.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy development proposals for a more targeted approach to checks on low risk cohort of passengers  conducted by Border Force..,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy development in delivering a more secure Common Travel Area Border.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters concerning setting the policy framework for checks at border.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
"Strategic policy-sea and rail port juxtaposed controls policy(sea ports of Calais, Boulogne,Dunkirk- international rail ports of Paris,Brussels, Calais-Frethun Lille-Europe & Eurotunne shuttle terminal of Coquells)",Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
"Strategic policy development regarding Border Security Assessment, Registered Traveller, Intention to travel & Priority Business Lanes.",Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Legal Strategic issues on the Sponsorship of the Independent  Chief Inspector of Borders and Immigration and of the UKBA detention facilities.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters regarding new and strategic policy development in combating NHS abuse and improper access by foreign nationals.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters regarding new and strategic policy development in restricting access to financial services by illegal immigrants.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters regarding new and strategic policy development in preventing labour market abuse. Also includes tightening benefits regulations on EEA nationals in relation to job seekers and retained worker cases.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters relating to new and developing  Human Trafficking policy (border and immigration  related issues),Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Development of Home Office Strategy for effective  immigration enforcement.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters regarding response to emerging legal challenges to enforcement policy,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions/issues regarding the deprivation  of citizenship on non-conducive grounds,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic Policy questions/issues regarding the Secretary of State's exclusion power where it relates  to criminality.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions/issues regarding the Immigration and Nationality exemption to the Rehabilitation of Offenders Act.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters relating to new and developing UK domestic asylum policy-  Asylum support rates including changes to section 4 support/Refugee Leave/ Asylum Intake/ EU Asylum Policy,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions/issues regarding foreign nationals  who cannot  be removed  or deported for legal reasons,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic policy questions /issues regarding the criminality theshold applicable  in immigration and nationality cases.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Strategic Policy questions/issues regarding EEA criminality thresholds on the public policy/ public security(tests).,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters relating to new or change (including consultations) to the strategic family migration policy on marriage/spouses /partners  for settlement in the UK . This also includes children & adult dependency).,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
"Matters relating to new or changes (including consultations ) to existing strategic policy on student visitor visa (short term students, 11 month English language concession).",Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters relating to new and developing  strategic policy on settlement & citizenship  for those  who are in the Armed Forces.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters concerning new and developing strategic Policy on settlement & citizenship relating to support given to migrants who are victims of domestic violence.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters concerning new and developing strategic policy  on settlement & citizenship for migrants who are working in the UK as Overseas Domestic workers ( ODWs).,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters relating to new and developing strategic family migration policy- European Convention on Human Rights ( ECHR) Article 8.,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
"Matters concerning new and developing strategic policy on settlement & citizenship on the basis of employment, self employment  business and investment in the UK.",Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters concerning new and developing strategic policy on settlement & citizenship - 10 year Long Residence rule and/or abolishing the 14 year Long Residence Rule).,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Matters concerning new and developing strategic policy on work visa  routes Tier 5 [Private Servants in Diplomatic Households & Overseas Domestic workers(ODWs)],Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
"Matters concerning new and strategic policy development on work visa routes Tier 1 (Investors, Entrepreneurs, Exceptional Talent)",Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
British passport issues overseas - IPS - hqenquiries@ips.gsi.gov.uk,Passports,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Red Notices,International,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
The exercise of free movement rights by EU nationals – exploitation involving passports,European,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Amnesty International Campaign – EU asylum and migration,International,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
The exercise of free movement rights by EU nationals and their family members - Romanian and Bulgarian nationals,European,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Amnesty campaign regarding refugees in Europe,Immigration Policy ,BICS PSG,"Borders, Immigration and Citizenship System Policy and Strategy Group",IIG,Immigration and International Group,Change
Statistics - Gun crime (firearms statistics),Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - Drug seizures,Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
"Statistics - Crime statistics for local authorities covering violence against the person, sexual offfences, robbery, domestic burglary ,theft of and from a vehicle and interfering with a vehicle.",Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - Recorded Crime Counting Rules (including National Crime Recording Standard),Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - Police personnel statistics,Police Records (inc PNC) ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - NMIS crime recording (including HO Data Hub),Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - Geographic Information Statistics (GIS) for crime systems,Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - Firearms certificates statistics,Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Statistics - Recorded crime statistics (including outcomes),Crime Statistics ,CPAU,Crime and Policing Analysis Unit,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Police efficiency & productivity - procurement (includes police vehicles),Police ,Commercial,Commercial,C&R Commercial,Capabilities and Resources Commercial ,Change
Police efficiency & productivity - Business Partnering/role of private sector,Police ,Commercial,Commercial,C&R Commercial,Capabilities and Resources Commercial ,Change
Procurement of police body-worn video cameras (through Police ICT company),Police Records (inc PNC) ,Commercial,Commercial,C&R Commercial,Capabilities and Resources Commercial ,Change
Procurement,Home Office HR ,Commercial,Commercial,C&R Commercial,Capabilities and Resources Commercial ,Change
Supplier Relationship Management,Home Office HR ,Commercial,Commercial,C&R Commercial,Capabilities and Resources Commercial ,Change
The Governments crime reduction strategy,Crime Reduction ,CPKH,Crime & Policing Knowledge Hub ,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Crime statistics,Crime Statistics ,CPKH,Crime & Policing Knowledge Hub ,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Neighbourhood Watch,Neighbourhood Justice ,CPKH,Crime & Policing Knowledge Hub ,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
"Voluntary Community and Social Enterprise sector arrangements, including the Community Action against Crime Innovation fund",Crime Reduction ,CPKH,Crime & Policing Knowledge Hub ,CPFG AI,"Crime, Policing and Fire Group Analysis and Insight",Change
Alcohol Licensing – General Enquiry / Process,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Drug policy campaign - Anyone's Child: Families for Safer Drug Control,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Legalisation of cannabis.,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Legal highs - new psychoactive substances.,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Alcohol industry,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Calls for legalising cannabis - Ministerial reply,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
Medicinal use of cannabis.,Drugs & Alcohol ,DAU,Drugs & Alcohol Unit ,CPFG CD,"Crime, Policing and Fire Group Crime Directorate",Change
